NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
Midlands,2020-07-02,0.671558562470658,0.561378725357684,0.842519357144087
Midlands,2020-07-01,0.671593820233057,0.561400814344704,0.842560049657559
Midlands,2020-06-30,0.671631808854848,0.561424621991435,0.842602772081489
Midlands,2020-06-29,0.713808826962338,0.613039372722623,0.829999453515551
Midlands,2020-06-28,0.713847212807983,0.613067194515995,0.830071204486443
Midlands,2020-06-27,0.713888388054971,0.613097860812372,0.830145701460549
Midlands,2020-06-26,0.713932568236438,0.613131664754283,0.830223038070846
Midlands,2020-06-25,0.713979945850694,0.613168885200989,0.83030334472041
Midlands,2020-06-24,0.71403059827748,0.613209722209924,0.830380675823159
Midlands,2020-06-23,0.714084468073594,0.613254295301253,0.830453134493008
Midlands,2020-06-22,0.733735336256484,0.609883802333184,0.810324375632846
Midlands,2020-06-21,0.733800486723704,0.609917430607662,0.810461587256011
Midlands,2020-06-20,0.733869861499008,0.609954664276582,0.810604603002544
Midlands,2020-06-19,0.733943747610031,0.609995921526768,0.810753636963829
Midlands,2020-06-18,0.734022311633508,0.610041509700317,0.810909048782112
Midlands,2020-06-17,0.734105399132563,0.610091312996088,0.81107157421768
Midlands,2020-06-16,0.734192554689853,0.610144734928357,0.811242328001887
Midlands,2020-06-15,0.761967424720584,0.660238477944139,0.897077878846431
Midlands,2020-06-14,0.762100663290294,0.660311468670956,0.897233105642196
Midlands,2020-06-13,0.76224179135444,0.660391136897733,0.897391935123782
Midlands,2020-06-12,0.762388056669024,0.660478246722677,0.897554505923109
Midlands,2020-06-11,0.76253166820228,0.660573069184597,0.897720814216434
Midlands,2020-06-10,0.762682177165546,0.66067413025957,0.897890375665188
Midlands,2020-06-09,0.762837827338236,0.660778015341441,0.898062198270601
Midlands,2020-06-08,0.890114301028661,0.803389577950283,1.00713181353901
Midlands,2020-06-07,0.890358403144462,0.803532837248774,1.00745820211766
Midlands,2020-06-06,0.890608684572252,0.803682934158207,1.00778408571689
Midlands,2020-06-05,0.890865586572849,0.803840325668917,1.00810932397453
Midlands,2020-06-04,0.891128804469749,0.804005213002464,1.00843400659197
Midlands,2020-06-03,0.891395556557814,0.804176720508777,1.00875904757012
Midlands,2020-06-02,0.891660504114141,0.804352698238435,1.0090862502318
Midlands,2020-06-01,0.948702415339558,0.888358237956499,1.09660453610284
Midlands,2020-05-31,0.948965166468826,0.888606217899412,1.09700859033046
Midlands,2020-05-30,0.949230807077524,0.888860551353714,1.09740455481886
Midlands,2020-05-29,0.949499315779786,0.889121404223075,1.09779171387793
Midlands,2020-05-28,0.949770882752151,0.88938893448774,1.09817038663229
Midlands,2020-05-27,0.950045671269811,0.889663195928744,1.09854591085067
Midlands,2020-05-26,0.950314902470771,0.889944096487317,1.09892963358529
Midlands,2020-05-25,0.908401935052648,0.808735571325891,1.08873646881009
Midlands,2020-05-24,0.908653616734581,0.808940211490076,1.08908852235082
Midlands,2020-05-23,0.908910458383654,0.809148879838657,1.08943410049064
Midlands,2020-05-22,0.909192023138705,0.809342408879709,1.08977270821484
Midlands,2020-05-21,0.909506143498966,0.809544552844259,1.0901045895302
Midlands,2020-05-20,0.909827035901943,0.809754516089341,1.09043351482354
Midlands,2020-05-19,0.910155790399801,0.809970467720382,1.09076743780107
Midlands,2020-05-18,0.890903027397854,0.824531712061225,1.0136609190504
Midlands,2020-05-17,0.891241653837279,0.8247673019697,1.01399129455344
Midlands,2020-05-16,0.891550171140695,0.825012318521419,1.01432058469847
Midlands,2020-05-15,0.891865521534488,0.825267022243792,1.01464818719189
Midlands,2020-05-14,0.892188365070956,0.825532044827562,1.01497425114772
Midlands,2020-05-13,0.892573153008393,0.825809123354593,1.01530255130385
Midlands,2020-05-12,0.892998192637235,0.826101181656591,1.01564127145559
Midlands,2020-05-11,0.780447900924016,0.724095516330208,0.859406907913143
Midlands,2020-05-10,0.780767767991999,0.724334762989145,0.859900821682183
Midlands,2020-05-09,0.781078375130134,0.724590320212211,0.860410479035321
Midlands,2020-05-08,0.781381429286263,0.724863494951836,0.860936389578148
Midlands,2020-05-07,0.781699716033475,0.725154328977781,0.861478902660996
Midlands,2020-05-06,0.782031949946568,0.725459395371679,0.862037845226651
Midlands,2020-05-05,0.78237532519795,0.725771864168927,0.862612489834244
Midlands,2020-05-04,0.867675684156937,0.746857183031388,0.955143172041392
Midlands,2020-05-03,0.868175958322419,0.747151091997437,0.955694874669169
Midlands,2020-05-02,0.868691246569891,0.747463702410231,0.95625176025852
Midlands,2020-05-01,0.86922216688826,0.747796524577825,0.95681374468835
Midlands,2020-04-30,0.869768548212036,0.748150252657946,0.957380949729121
Midlands,2020-04-29,0.870327883636124,0.748522512186781,0.957954094614385
Midlands,2020-04-28,0.87089531625055,0.748907448450089,0.95853448994238
Midlands,2020-04-27,0.940893937499412,0.884654994277857,1.01067264175014
Midlands,2020-04-26,0.94161764022456,0.885183987965464,1.01141683867437
Midlands,2020-04-25,0.942463584335393,0.885727071124939,1.01215953242406
Midlands,2020-04-24,0.943212943032529,0.886284675456576,1.0128997859347
Midlands,2020-04-23,0.94392907401901,0.886857012776588,1.01363767173776
Midlands,2020-04-22,0.944735607846522,0.887488095203905,1.01445408992952
Midlands,2020-04-21,0.945591390170066,0.888213041310329,1.0153035639653
Midlands,2020-04-20,0.887365451391732,0.812920593894488,0.957309989062717
Midlands,2020-04-19,0.888157429849392,0.813466747048535,0.957994208658646
Midlands,2020-04-18,0.889017883934253,0.814037163336821,0.958684945148437
Midlands,2020-04-17,0.889841450283562,0.81463286218018,0.959380468454148
Midlands,2020-04-16,0.890638104173962,0.815254834737537,0.960080517189756
Midlands,2020-04-15,0.891346849879117,0.815903950683857,0.96079512582396
Midlands,2020-04-14,0.892229437927455,0.816581012677544,0.961548534428625
Midlands,2020-04-13,0.727113363450951,0.649879492003686,0.820000999562635
Midlands,2020-04-12,0.727582354914216,0.650367927294763,0.820776438297543
Midlands,2020-04-11,0.728133037557547,0.650898658415208,0.821582867951467
Midlands,2020-04-10,0.728720927002317,0.651475127907038,0.822418762199135
Midlands,2020-04-09,0.729348636006764,0.652103035937238,0.823288534619999
Midlands,2020-04-08,0.730051268204088,0.65279341980784,0.824218012765822
Midlands,2020-04-07,0.730869188299397,0.653563056924582,0.825259048977179
Midlands,2020-04-06,0.525548914161929,0.49147254969943,0.563148500504491
Midlands,2020-04-05,0.526212117697042,0.492022033287422,0.563997695856347
Midlands,2020-04-04,0.526870193031774,0.492656778063727,0.564972814378037
Midlands,2020-04-03,0.527525678643727,0.493372892200351,0.566037331898632
Midlands,2020-04-02,0.528381504275774,0.494111925024219,0.567068151857983
Midlands,2020-04-01,0.529321760813291,0.494926208014504,0.568215642382868
Midlands,2020-03-31,0.530447913778297,0.495835944781627,0.569481451290813
Midlands,2020-03-30,0.605667116115576,0.554897129684692,0.637232147814847
Midlands,2020-03-29,0.607167390072041,0.556400746040233,0.639381020454311
Midlands,2020-03-28,0.609018989528037,0.558128018844723,0.641854998449892
Midlands,2020-03-27,0.611307717712769,0.560099974297274,0.644152447846052
Midlands,2020-03-26,0.614047966653911,0.562113794315082,0.646642451603563
Midlands,2020-03-25,0.616349560818478,0.564020759771711,0.649548900061297
Midlands,2020-03-24,0.618194601409461,0.56568563962175,0.652181191850273
Midlands,2020-03-23,2.52766482474755,2.37298946870936,2.69627770452218
Midlands,2020-03-22,2.55349760542128,2.39751490102277,2.72190625488684
